name,stars,branch,commit
iluwatar@java-design-patterns,77705,master,4108f86177254b72cec4f05c3c2e0dab35e63536
spring-projects@spring-boot,63750,main,4be3218cb62915d6fa8596f0e630514383f58b83
elastic@elasticsearch,61587,main,0ac81ce52a5474082465d48d68a2a8d5363e758f
spring-projects@spring-framework,49480,main,997dd3ee65b0e30b396fa06db75eb6a80b3809bc
TheAlgorithms@Java,48630,master,9a09a9e772dd39a05f247111d83fedceaf31ac10
ReactiveX@RxJava,46570,3.x,159ae3b00b93e42c37a74e9635190d9cbcde99ae
google@guava,46014,master,b337be608971b02a51f1a31a50a49c4755c6fd75
square@retrofit,40676,master,5180f481c58b0be80ad81a0c1ec540fe7e91ee81
apache@dubbo,38020,3.1,6f35df41b50efd56fb1232efc2bb877a3fb01761
PhilJay@MPAndroidChart,35757,master,0550d3f7907c635744c08ad8ff9c45e1b6281cc7
NationalSecurityAgency@ghidra,35317,master,2a86142a8d2496016fccc53abacc5d60671d5eb2
airbnb@lottie-android,33307,master,c553ad392e62f29de7045f4e5c9ed116d951c454
bumptech@glide,33065,master,4bfda588b628389134c7a1269cc8202bb69510bf
eugenp@tutorials,32292,master,8e8372ad2d253284194e26548ddfb28452b5012a
skylot@jadx,31997,master,6844a46c93a4c911196b47ad3492da15935711b9
Blankj@AndroidUtilCode,31490,master,2955cf96fcc4ed6b8501d06be382cf098d7cdf50
zxing@zxing,30310,master,bdc7c26526ada2b7b9864d949b56d762f05c65ca
netty@netty,30145,4.1,4573c91220006a909bd4fd15b12b72eecff4940b
dbeaver@dbeaver,28864,devel,7e6a4f2ce55adae14b00f08f1f3d911f1209f39d
apolloconfig@apollo,27411,master,75ae5cc8ca41c5f177cd9c8e044a9425ba40ad39
crossoverJie@JCSprout,26846,master,138bf674028a5e14584d94576cbacb97cbdf56de
JakeWharton@butterknife,25677,master,fcdebedf3276096db2f51bf6372b849b5a9c75ed
alibaba@fastjson,25045,master,b297371df369c41d104cf0d37fbfcf124230fd8b
SeleniumHQ@selenium,24953,trunk,851cb0da757ff5d1c81c03c8591a39fde678c15d
alibaba@nacos,24368,develop,308d772a9a17d004fba173254d7e6b2f58f08a5a
dromara@hutool,24291,v5-master,ec14f8384ad384fb6e054df722fe089d64af0c41
greenrobot@EventBus,24143,master,0194926b3bcf70cc0d7bfd3c5da16708dd5ab876
alibaba@spring-cloud-alibaba,23959,2021.x,4b24746de947568df5e8f418d1828e8cadb69de0
apache@kafka,23393,trunk,06dc67a480e65a98c1d85aeeb9919fd6dcda49b3
CymChad@BaseRecyclerViewAdapterHelper,23178,master,ef191263c2abd5a689a8d6eaa9e04f36faf42666
Netflix@Hystrix,23000,master,3cb21589895e9f8f87cfcdbc9d96d9f63d48b848
seata@seata,22946,develop,e10e36c6c09d17202c195dfe48ad76a27b8e3e98
signalapp@Signal-Android,22939,main,07915db7bc5720e8de8fee3a8683b1bb1686e436
google@gson,21518,master,763e69a33117fcfc2b527aee7cda5866cc747b22
TeamNewPipe@NewPipe,21484,dev,2a98cca80100d87562f0c9ff1fadeac3838f6ff6
DrKLO@Telegram,20914,master,e9a35cea54c06277c69d41b8e25d94b5d7ede065
apache@skywalking,20659,master,7f9f7922296a695404892ea9e60df6a8ca3873fa
libgdx@libgdx,20656,master,31ac4d900bffe10c4b194a912a1289fa1e42ad3c
redisson@redisson,20018,master,34bcddc0121e1c5c447c2e3f68399fccd33f7b77
apache@flink,20013,master,93af1e45a1e868ad3752923453562861d831104f
google@ExoPlayer,19963,release-v2,ab4d37f499ba49bb3cac7938eb03ebf7133ccfe6
ReactiveX@RxAndroid,19701,3.x,bbb97e095f63a746d2b9381a4dfa1aaa4c590c8f
jenkinsci@jenkins,19678,master,e7df5eb5285ec965621a02d589f2543d09885723
bazelbuild@bazel,19632,master,b422719f35b1ae5ed5f7f83d05cd778e9c58d793
Baseflow@PhotoView,18370,master,565505d5cb84f5977771b5d2ccb7726338e77224
apache@rocketmq,18275,develop,40013b32e818cf47607e48f9bb0553c14d24d948
EnterpriseQualityCoding@FizzBuzzEnterpriseEdition,18098,uinverse,4922c077c07a3744ae67ee8a932786f15bf57411
mybatis@mybatis-3,17861,master,043aaaa6bc11e3f06e1e85dd4f990b55346612e8
oracle@graal,17676,master,a33f51897adc29162790668023fe9017cd2fef25
apache@shardingsphere,17540,master,a4cc08e5419bb2db385ecb0a8c270130a2713262
facebook@fresco,16875,main,51662ed37ceea76ca7f58912b9f8372fb8ccb08b
nostra13@Android-Universal-Image-Loader,16805,master,458df4da2e23ba9ad76c79241a948cdfcccf72ae
termux@termux-app,16756,master,c8a74dc58898ffee1d1207a125f2b4000d20b39b
Tencent@tinker,16589,dev,bcc4d8fd9ccc9682a5964c15c0fe8c622efac215
Anuken@Mindustry,16185,master,cc4ea7af5ee60d36d7b558a4e74b4e947af60cb7
winterbe@java8-tutorial,16022,master,faf9793524cd6956428fa5d79e7fdce3a3184b56
openzipkin@zipkin,15746,master,c99ff5ad259a607de6e1cf67239bee8300a43e60
lottie-react-native@lottie-react-native,15429,master,4af1ebd5a6255e4ab87956775ad3bcfcd8a4d3cb
LMAX-Exchange@disruptor,15259,master,f42fc745dd6916017723ebe6dc1457501bc44f71
android10@Android-CleanArchitecture,15229,master,8ed4222c537e40db05e9e685bbc253fafb6b8e1f
iBotPeaches@Apktool,15025,master,9db742618bb045246d952c4cf911d299a59c1420
medcl@elasticsearch-analysis-ik,14417,master,9338c1910468f19cae99532f6a3aa5fe02399a06
openjdk@jdk,14360,master,324bec19aa9b9d4944a7e1129d494d57a077ba51
hdodenhof@CircleImageView,14324,master,f599e991fae34af6047030bd7710d244c8ad4dfe
OpenAPITools@openapi-generator,14161,master,a9b24956a847bf17ceb9710033227093f2b4bb14
prestodb@presto,14109,master,ba9ec306d453f968f711e437ab2d60b91dc6b700
material-components@material-components-android,14066,master,3b333ee8343dc0bde20d110a39ccc4654977eb23
keycloak@keycloak,13886,main,6dc2119e205f1d9fabd44afa2d434eb540ad39b7
android-hacker@VirtualXposed,13804,vxp,122beb371519cb2d221ce06756361aaa30e2674f
williamfiset@Algorithms,13691,master,3a2764d8e1b0045ee10fefd1e1fe68e5f3da1510
baomidou@mybatis-plus,13632,3.0,77200290abf3a2340118a5e0bc0087ddb1f05e42
lgvalle@Material-Animations,13566,master,be755fe9ebe7f9093360e4263c4293de368da1c7
orhanobut@logger,13440,master,c64a72c2ce3d0fcdebe829b091e3a530c94ca6bd
mockito@mockito,13396,main,fcb4cf7bf3f38b0135b50bdc930d7532c7168356
Konloch@bytecode-viewer,13323,master,77521a23b241fbe969954fcf0646442aca911d16
arduino@Arduino,13246,master,43b0818f7fa8073301db1b80ac832b7b7596b828
eclipse-vertx@vert.x,13226,master,bb5c9e7a660ca21a6ee7168ded8ffb8b27de6077
antlr@antlr4,13211,master,aa1f1f12a846846fcb78544bdb2ad135471376db
apache@hadoop,13015,trunk,37bff63c0ffa506cc8b13bee9fd3ae5b9f3075c9
deeplearning4j@deeplearning4j,12664,master,af7d725004805b0447094ef78bb3338581b005e1
facebook@stetho,12590,main,7c4dc8de4deb28c012b199ef52b9b5c7ad626793
greenrobot@greenDAO,12552,master,2611b1c8d220953c1308131a225a0cf41dce3d1f
thingsboard@thingsboard,12535,master,4cc7e7b373e55aed49df7df7f97813700dabe2fa
ben-manes@caffeine,12524,master,3d07724470268a5de4ebbd6b2ec98a3addd04537
pinpoint-apm@pinpoint,12441,master,c75e076920097254249cb38c848c2b9d2583857f
zhihu@Matisse,12339,master,21591aebe73a56435d84afc7b5cd50ea7ae2a6b8
daimajia@AndroidSwipeLayout,12264,master,5f8678b04751fb8510a88586b22e07ccf64bca99
GoogleContainerTools@jib,12261,master,1762f1a6c97356829d450bfea82725468ee696ce
Netflix@zuul,12235,master,8b326eb0bfb9ac2d4f21b6b4174a06d428d15938
daimajia@AndroidViewAnimations,12208,master,6a35c466d23e49c5cd174289ebe8d9ccdbc69044
apache@druid,12140,master,72c16097ac6c04915f0137a1a37fed19f597799b
sqshq@piggymetrics,11956,master,6bb2cf9ddbca980b664d3edbb6ff775d75369278
java-decompiler@jd-gui,11774,master,b3c1ced04e571fc316648d114ff0c8121e051d8f
apache@pulsar,11746,master,6cc30c93a05bb16b7ef62ffebc15ceb5e6efb502
Tencent@VasSonic,11586,master,59936beff656d4b5718ff6444d6c5e001a2c5231
projectlombok@lombok,11559,master,731bb185077918af8bc1e6a9e6bb538b2d3fbbd8
google@guice,11546,master,d6997b0ad0a027b0e6b7216b4fb24eb0e7b979cc
Netflix@eureka,11539,master,ed0da19ca1c049c87e3dbf75b6015c1861d5c2d0
Yalantis@uCrop,11351,develop,63dda2e17138ed1b6b91a1dd83224452e7c51f6c
realm@realm-java,11338,master,8ed5f3e5e85d6f54003a5baf74b069935cc19d62
codecentric@spring-boot-admin,11281,master,cf249cfd92a6777c2138c65efbb0efc2c02942d4
androidannotations@androidannotations,11159,develop,0d24f1b64dd6b4c27d9a77d3b771a129a59b5b4c
jfeinstein10@SlidingMenu,11152,master,4254feca3ece9397cd501921ee733f19ea0fdad8
permissions-dispatcher@PermissionsDispatcher,11048,master,74b532bf1fe430fb12ad8414b80399f2d7cfc954
apache@zookeeper,10890,master,90f813ea38a85ff2715662bad75f9bb6387fe4a6
quarkusio@quarkus,10879,main,25e76ccbac31caa7660e6806be0355896cff848c
alibaba@vlayout,10828,master,00d6be0a1fa89c2f54ca923d2ea2e34d279d289e
redis@jedis,10740,master,870897d86f2d655d330c7066bee3606d3a4f8615
H07000223@FlycoTabLayout,10732,master,528fcffe88d54eeafbc85ffd1ce375df043b3a28
lingochamp@FileDownloader,10657,master,6237a8cac174bcc916e4342b14ab1ab72a5768d4
android-async-http@android-async-http,10645,master,018a0b8d96a0dd569de9f8128cfe5d030e0423ef
janishar@mit-deep-learning-book-pdf,10623,master,4db1f780246f7753007d25c9453b19f342f79aa1
code4craft@webmagic,10573,develop,5d5f3bf20e08e37b44b2807021b056cbc696a5f9
neo4j@neo4j,10542,4.4,9292aebebe6efa9ed1d53be14e1b1a5d558def4b
lipangit@JiaoZiVideoPlayer,10425,develop,3db479b1a816965336fa5884708037a0a2971c33
tbruyelle@RxPermissions,10381,master,fd2b50fe8c11f4c62122d78ed4eda51463ae2fdf
pxb1988@dex2jar,10303,2.x,e938cf0b654f9a2d48f2e25f9f7b3a0341ec002f
JakeWharton@ViewPagerIndicator,10201,master,8cd549f23f3d20ff920e19a2345c54983f65e26b
aosp-mirror@platform_frameworks_base,10140,master,a58ffe37910371e4df3386ba796b652aa0aa3452
zaproxy@zaproxy,10110,main,b4a763fd22d9470188446be4a7f62797bc3eb781
grpc@grpc-java,10100,master,47ddfa4f205d4672e035c37349dfd3036c74efb6
google@auto,9911,master,3659a0e6436d3acfeda04e0bd1df3603f1e7ffac
theonedev@onedev,9892,main,5262e7b9f6ff515ad812b464c70b4ae0758c2dc7
square@javapoet,9890,master,86d478ba7c9c8aa815e05caec18e23a119519ca5
jhy@jsoup,9802,master,eabfcdd25d3d1604baaa78d585ea671540a45adf
apereo@cas,9780,master,cb8b24ca4e665f0ccaf600826053f8aa9b8c2371
YoKeyword@Fragmentation,9728,androidx,0394930a3e2368f210df31f2632fb89b9c44e121
wasabeef@glide-transformations,9714,main,d950f0c33f27f864e4ab4b26fce66c27079911c1
clojure@clojure,9706,master,5ffe3833508495ca7c635d47ad7a1c8b820eab76
HarlonWang@AVLoadingIndicatorView,9661,master,841f98d230b14f0617e541a8b421f8dd96acd030
liaohuqiu@android-Ultra-Pull-To-Refresh,9644,master,46fdc861243a3d90dca1f5d31f3c82559ee9e4fa
ksoichiro@Android-ObservableScrollView,9620,master,47a5fb2db5e93d923a8c6772cde48bbb7d932345
googlesamples@easypermissions,9574,master,2b2b5c40d11caf601c89da0af995f57772a2e52b
questdb@questdb,9544,master,fbe64151b84ffeeaa4a83cff33b965cbad332338
umano@AndroidSlidingUpPanel,9440,master,45a460435b07e764138a700328836cafc1ed5c42
pockethub@PocketHub,9425,master,8228cb8f7197a7c2227e67ee48a2c8dc843fb553
TooTallNate@Java-WebSocket,9392,master,aad665473a7c31f8e225b5d9741826e12b0fbec3
perwendel@spark,9391,master,1973e402f5d4c1442ad34a1d38ed0758079f7773
MyCATApache@Mycat-Server,9339,main,77d409aceb6b9ce853a8ae585b8589e3d246707d
apache@dolphinscheduler,9225,dev,04aa125ba2b7762ccee5e9ee80ad14f3fe83caf3
koral--@android-gif-drawable,9203,dev,0bd8fafa23c25bafe02e1e4337b4bc4079eb9172
lzyzsd@JsBridge,9113,master,07a2843fc1422dd7688e72be15d42dde4898ef89
OpenRefine@OpenRefine,9085,master,14ec7e747670e4e2a0084258b875eb3cc291b161
navasmdc@MaterialDesignLibrary,9070,master,7271050ff486cc4038e13f02b10a28aa4cf5b8cf
Activiti@Activiti,9024,develop,e5b8be769b1f1d2b9195953e676a56ded11cf39d
asLody@VirtualApp,8964,master,097a9fac6e504f3a1e752d704ff97d526ac7d0aa
nathanmarz@storm,8893,moved-to-apache,cdb116e942666973bc4eaa0df098d5bab82739e7
laobie@StatusBarUtil,8786,master,8bc86216b7538e8bf70de721d7415226d47bd5dd
didi@VirtualAPK,8761,master,b1a778a06688f89f574ec8608f0764eadb9009b7
chrisbanes@Android-PullToRefresh,8751,master,3bd8ef6869c3297bfe874d2f15c2ee53c3456e99
stanfordnlp@CoreNLP,8689,main,f7782ff5f235584b0fc559f266961b5ab013556a
Justson@AgentWeb,8679,androidx,5ee0585dc0a38f1075f80fa2b2bc9c66891c54c6
android@testing-samples,8658,main,71cd0581ae38830e0c71c59da5eda5e895f40530
jwtk@jjwt,8640,master,a85815351806a35461d951d41fcc3c2ce14b7904
chrisjenx@Calligraphy,8609,master,085e441954d787bd4ef31f245afe5f2f2a311ea5
alibaba@COLA,8591,master,9713cee1f10b67370d4aab96b6580705a59c3939
Freelander@Android_Data,8550,master,df3d108a95de1a6b7198fd14fd7234b62af19b16
cats-oss@android-gpuimage,8533,master,ceea576ec931c2968431ad46f1fb2e6d68a542e2
roughike@BottomBar,8433,master,885d70e62359d15ed17dfd77a28809702d6ae513
facebook@buck,8415,main,16dc4866c20e807451a1762eb98776814c545e6f
OpenFeign@feign,8391,master,f8a46ae58bb8c26cf9e0f777ea165e2c0f103655
airbytehq@airbyte,8381,master,5361f143226ad6fa34308da9c23208071a3c0a5f
junit-team@junit4,8378,main,80838a508b8875080c1b59d04f14ebaf74908af0
resilience4j@resilience4j,8353,master,63ca984f9bf94beff574ad08eb989013f15fd7be
cryptomator@cryptomator,8351,develop,01a6475d5ff94b35362c12fa464db6726196e830
dropwizard@dropwizard,8304,release/2.1.x,fe9e52a008be52c72c1e9fb1272af3acbb471e43
ybq@Android-SpinKit,8304,master,aa83e4d0a42c76eae15e8b18b79aa2a231cca5f8
firebase@quickstart-android,8255,master,a24cbdfb5e41776f5c5a999ca29b3aa3962a7030
florent37@MaterialViewPager,8206,master,e2fb22e0ad95b00934c3d73cd1031c1cd5b407c1
ionic-team@capacitor,8157,main,aea5310024349997858786ac7cda0a9e51af0d0d
shwenzhang@AndResGuard,8108,master,afa1d238e97323ea260ff355ae18066012d4a0e4
alibaba@atlas,8072,master,c20c5b83f67b9a14fb597d59a287ec7a3e5bdbac
amitshekhariitbhu@Android-Debug-Database,8072,master,94efb5a7b0f22ad9ad2c4d650367952efd457367
airbnb@epoxy,8043,master,db4f47ab8e59c9cbbb1de790c52218fcd8d58bb9
ChrisRM@material-theme-jetbrains,7907,master,4b3683f00cf2e0000a627ff05d80f38748f0baaa
guolindev@LitePal,7902,master,8ad8322cc6f808e6d6beb7ce4b13d12e8360ce45
HannahMitt@HomeMirror,7894,master,566c03d3388e1ca0c818ca4be8bf8528a2f53c39
Netflix@SimianArmy,7894,master,e8eb9f3bad23962d03db4af936abeeabd8b4071b
signalapp@Signal-Server,7886,main,90490c9c84852ed05f65b26e10eff5cd05066dfb
JakeWharton@hugo,7847,master,50ee96dc07cda4277cd5ee59add847251c34604e
react-native-image-picker@react-native-image-picker,7772,main,7490cc493737cd03f881cddeddbac28d43987534
apache@shardingsphere-elasticjob,7728,master,fe391de9d28fec0df3172b49cf8d693a7a7c1fd8
trello@RxLifecycle,7703,master,0dabd1c4322ef320ebdbf2e0fbb16761580a842a
languagetool-org@languagetool,7686,master,248f461267d6dfd787cc751bc8c21e96b13a4b9d
google@tsunami-security-scanner,7680,master,886526f3f942be96fedf30ee01a0aa457cce17a6
debezium@debezium,7674,main,02f3360e3ab7ca2e994e1b46983f8560514b43f5
dropwizard@metrics,7639,release/4.2.x,c07beb434d17dfc648f343737cd0b4c041798400
apache@cassandra,7604,trunk,230fe8e64722ac02dbf8cdafb7d4fef120726dd7
yuliskov@SmartTubeNext,7603,master,27ff799c00c447cce334b3d56eb5ac6e16957f6c
aritraroy@UltimateAndroidReference,7588,master,899e5800ab16b53a7ab2b2f6a8f6664fdfd738b5
java-native-access@jna,7459,master,673079f3afae0b0dfeaa111071aeed909af5dcc3
facebook@litho,7443,master,8290daee970d743e86f45b7ec827ad69ab7361e7
json-path@JsonPath,7406,master,3f4900d6e7361cd21f0327c828dabf83fd188227
davemorrissey@subsampling-scale-image-view,7399,master,173e421fdbfa971fe8db2d943c1bd758ce679d24
barteksc@AndroidPdfViewer,7386,master,d243b39377f19c3eae41e227067da254ebbf731b
apache@incubator-shenyu,7353,master,d4247d7b2aa51f8839115d901e32ada52a337427
lecho@hellocharts-android,7348,master,c41419c9afa097452dee823c7eba0e5136aa96bd
supertokens@supertokens-core,7347,master,ae8f997b4003c922150a04daf4d66001fff0dff4
checkstyle@checkstyle,7344,master,7215503167e1254d0b06c8396256959cdef62418
vipshop@vjtools,7341,master,2f780edd504e7474b77f54665370a6a8361e3f55
seven332@EhViewer,7316,master,ba6d41b91f53b0835f73fb2903b5c4ff1259786c
koush@AndroidAsync,7304,master,9c19a278d54721fc0bbdace942c4db4134b363d1
k9mail@k-9,7298,main,e120b551d96ad6136ef3f8a7b43c874e25e095d2
square@dagger,7296,master,0fa73e0ee07015f191c25b1f3fdf7048321d1610
google@agera,7266,master,04045ccbf41ac5fc6806724127b33cbe0dda372c
Bearded-Hen@Android-Bootstrap,7265,master,b3d62cc1847e26d420c53c92665a4fe1e6ee7ecf
pedant@sweet-alert-dialog,7259,master,770bb183fb4fc7311b60392b470c508a0a4df16e
SonarSource@sonarqube,7255,master,30e6c8d94430d7087f14196032d77e3034262e83
cymcsg@UltimateRecyclerView,7243,master,eccdbd953869612d758bc1e7e65068c71d3f0f12
leolin310148@ShortcutBadger,7222,master,6d4ce808b0a1abe0ac31dc93d46a78ebecdebfbe
google@android-classyshark,7188,master,a5fbbc83de8b5964d95ecd3fb9d2ee75ca5dcd76
spring-projects@spring-security,7184,main,452856132694e3872698f9b7625f0b4b86640b54
JakeWharton@ActionBarSherlock,7139,master,2c71339e756bcc0b1424c4525680549ba3a2dc97
LSPosed@LSPosed,7136,master,60cef9610726106b7f7da670fc3cca5019c6f621
kevin-wayne@algs4,7104,master,800d8809cac01e1b3ac11bf1fbd6f9ca01a331c8
swagger-api@swagger-core,7079,master,4072cb01d96ea2ef730c5d8894013819623bdb56
Qihoo360@RePlugin,7041,dev,dcb8bdec24aa6282eb7c8994ed1e5dcbe7887029
ogaclejapan@SmartTabLayout,7006,master,712e81a92f1e12a3c33dcbda03d813e0162e8589
abel533@Mapper,6970,master,737b3617f580d053736a84e55eef34b2c39293fb
plantuml@plantuml,6923,master,ab8d4f41183293be960fd2518cb226cefa53b51c
flyway@flyway,6802,main,c0e2e261c46bf7232114a62d761251d3fc15668e
NLPchina@elasticsearch-sql,6771,master,2806b904cd2a0f67572622fa9c064ded0d7ba81a
PaperMC@Paper,6771,master,25cd3eee99a96b360ab947fb78459045f29b2b78
naman14@Timber,6762,master,b53a7d54682e100acaefb41cd181b40f5db59f64
DroidPluginTeam@DroidPlugin,6753,master,c6ebf652e0f73aa0e5746766e117e51efaf41dbd
google@closure-compiler,6648,master,56ae527d131715ae64d70d2bdede271865e1eb79
TechEmpower@FrameworkBenchmarks,6632,master,5f78ab6046e82773f15b6db67a6b8531e33a2985
Angel-ML@angel,6616,master,0c3162d55a22dc97a4c657e66b26695a06510a52
gocd@gocd,6606,master,c3e668d955a97bf34c984d2c0e405a124a1459cc
yanzhenjie@AndPermission,6580,master,00bedd6a3a939ce6dab22885723699025c63377b
apache@jmeter,6532,master,6dec35fdf58a4bd075c37fdb574c5e6dbbeb5f3c
zo0r@react-native-push-notification,6490,master,fcf40a05175bb79fb5fdfe2ac31bb797bc5008bc
datahub-project@datahub,6476,master,46453e4b10cd0d290ab09c53f592fa80b5d85374
testcontainers@testcontainers-java,6467,main,b9f48abdee62fea8e94ca39ff5f18016646be9b0
markzhai@AndroidPerformanceMonitor,6452,master,ed688391cdf95742892ce61494736667cf5baf08
NanoHttpd@nanohttpd,6428,master,efb2ebf85a2b06f7c508aba9eaad5377e3a01e81
GrenderG@Toasty,6413,master,1d9a280da12a1182d4d132a038122d4817348d62
karatelabs@karate,6398,master,925eebb3dfbd7f3ac7a39d11ad43720107bf2a2f
apache@storm,6396,master,5e110961a31a6fa33c9c0b54b84aedfdc442593f
trinodb@trino,6395,master,aef32af28f88d08a8f91c26d8c3693ba67b1088e
react-native-svg@react-native-svg,6392,main,6a5242f00b38441dc29d947ffde852315e90d4fd
zendesk@android-floating-action-button,6379,master,639063555c5416e0d38980f38a34130494a30fc5
LawnchairLauncher@lawnchair,6377,12.1-dev,dbd09c73cdf2fee4d31b9a439c4927e7cc729abf
vinc3m1@RoundedImageView,6355,main,344228d5f8ad7dc6d5e351bd6c86263be7c31eb3
react-native-video@react-native-video,6338,master,8b09cb58dfd55d2a6351965be0de33ced994a136
apache@tomcat,6317,main,cbae1671687d29e63d5e2f3cc54f0a24671e0855
koush@ion,6304,master,2e48671fb865e993f714b5ffed16e82aed6d04fb
Graylog2@graylog2-server,6301,master,200a62deb737f560407c56edf54fd5ceadf1cf78
processing@processing,6263,master,8b15e4f548c1426df3a5ebe4c2106619faf7c4ba
guardianproject@haven,6254,master,1e070fb21bff3e7886fa8faf05863794bd0a28d1
bytedeco@javacv,6236,master,7175b795ae05fbbae46ce8e3d6feedb6005699c2
google@error-prone,6178,master,7db3f74884cbcf9bfd0f96826405c1aeb86c5d29
real-logic@aeron,6178,master,9fc9a9226109a8a0c4c0caa9cce4032e2f0f907b
ArthurHub@Android-Image-Cropper,6171,master,2a4a425668bfff1329dd5bfb1b80b0829bb4cc67
ikew0ng@SwipeBackLayout,6141,master,7c6b0ac424813266cec57db86d65a7c9d9ff5fa6
pentaho@pentaho-kettle,6127,master,ae19f4203451eadb8ce08602d4c714547a70d771
rengwuxian@MaterialEditText,6118,master,f6e9fa42213cda552764c2a63f93a1464fa91d04
rest-assured@rest-assured,6077,master,7a40b9c1cfd432d0ca9d4bd63c84dff180f3c44e
rabbitmq@rabbitmq-tutorials,6055,main,f8a31966bc96a1108bfbcb216de7d5f57e350b33
rey5137@material,6037,master,b06373bf1dca194811c6e5374f5380cf04cfc859
pedrovgs@EffectiveAndroidUI,6035,master,4249edce6180274156e5bcdf21191890f1c3b42c
google@physical-web,6034,master,12604319e99b6d6dff451fc5a58a13a271f1dc7a
daimajia@NumberProgressBar,6017,master,c63171bd053adcf287659e16440bd6efd834a795
AsyncHttpClient@async-http-client,6014,master,c959fa0483adb4a71fbccc5be94d8b6faa4f74be
sshahine@JFoenix,6008,master,a1be87d91d578e7799bc308b3b1bbe1d742a020d
singwhatiwanna@dynamic-load-apk,5977,master,bbd3bfa84c3a26cc89615a7539aef3ac4e9491e5
apache@beam,5974,master,ead2d2e8025874ad5c3f09ea0fda06caf027e18c
antoniolg@androidmvp,5961,master,b7056a68806f723885c4c0e83853b7fdfc34e9ce
